"county","proficiency_lp","proficiency_mt","classroom","classroom_used","computers","employees"
4117255,257.437515232759,270.028634422414,8.54545454545454,8.09090909090909,7.45454545454545,27.2727272727273
4117271,242.207988682927,239.249883817073,7.6,6.46666666666667,14.8,22.4
4117305,243.33776070202,245.372129585859,6.55555555555556,5.83333333333333,6.16666666666667,20.3888888888889
4117503,270.308200124694,271.136862711491,9.84,8.68,13.6,41.4
4117602,240.916373306413,235.731240396675,13,11.4146341463415,14.0243902439024,38.7317073170732
4117701,271.44323469837,272.564774877717,8.94594594594595,8.59459459459459,18,31.2162162162162
4117800,257.765122918367,251.623745821429,8.63157894736842,8.31578947368421,14.5789473684211,28.8947368421053
4117909,279.793674383481,286.563885498525,11.2903225806452,9.25806451612903,19.2258064516129,40.4193548387097
4118204,258.313724225294,254.923823155882,9.56818181818182,8.96969696969697,16.6439393939394,36.4090909090909
4118402,261.002722590434,257.680762744395,10.7971014492754,10.2463768115942,25.4202898550725,42.0724637681159
4118501,266.859841246506,268.463390819568,11.6103896103896,9.80519480519481,18.5454545454545,37.4025974025974
4118600,272.919926567568,282.862195810811,6.4,5.2,6.1,16.4
4118709,262.669044827957,263.15718083871,7.375,7.375,14.5,28.5
4118808,224.089106547619,241.826392857143,8.53333333333333,8.2,7.86666666666667,28.1333333333333
4119004,244.739074558824,261.384577676471,7.44444444444444,7.33333333333333,17.7777777777778,25.4444444444444
4119103,269.141347892617,273.506091100671,7.92307692307692,7.38461538461539,9.15384615384615,23.5384615384615
4119152,257.199062400328,256.720973806399,13.5853658536585,10.5,25.3536585365854,45.8170731707317
4119202,262.697680898734,254.048659177215,6.9,6.8,17.4,22.4
4119301,246.304223213235,246.045972772059,8.10810810810811,7.59459459459459,15.2972972972973,30.5945945945946
4119400,237.507984170819,239.790926487544,6.70833333333333,6.75,10.4166666666667,22.6666666666667
4119509,243.160284370868,241.30807663843,9.91525423728813,10.1016949152542,12.1186440677966,41.8983050847458
4119608,255.854799414169,254.506105972752,9.82051282051282,8.82051282051282,18.9230769230769,33.8717948717949
4119806,277.802494824427,286.169729465649,7.8,6.33333333333333,15,29.5333333333333
4119905,264.699960661748,263.542237751419,10.2393822393822,9.93846153846154,16.0884615384615,39.1730769230769
4119954,263.333294550296,260.37173483432,7.57692307692308,7.57692307692308,10.0769230769231,27.6923076923077
4120002,253.582709454082,249.648038969388,10.2307692307692,9.46153846153846,12.6923076923077,37.6153846153846
4120101,266.265355333333,259.839950979167,6.75,6,17.25,23.75
4120507,222.708854168539,233.461762898876,8.72727272727273,7.72727272727273,7.81818181818182,28.8181818181818
4120606,249.337762718593,257.75160021608,6.7875,5.8875,9.5,18.6875
4120655,255.732681745098,258.82950254902,11,8.6,16.2,37.2
4120804,270.563613701639,273.600984567213,10.1904761904762,9.33333333333333,17.047619047619,36.3809523809524
4120903,255.339281049844,260.214010252336,8.11627906976744,7.27906976744186,15.4651162790698,27.4186046511628
4121208,258.66242534375,262.296201800781,8.33333333333333,7.22222222222222,12.7222222222222,28.8333333333333
4121406,283.267663052941,293.160579858824,9.33333333333333,8.23809523809524,14.952380952381,29.9047619047619
4121505,264.318027324607,265.184608387435,7.5625,6.5625,13.5,26.8125
4121703,252.933069803625,248.840596359517,7.35714285714286,6.78571428571429,6.71428571428571,25.1071428571429
4121752,257.35417,262.336159738095,9.9,6.9,11.6,29.5
4121802,274.631118548872,273.252367796992,7.07692307692308,6.69230769230769,11.5384615384615,34.6153846153846
4121901,237.54304677551,245.746577071429,8.6875,8.25,7.0625,33.8125
4122008,243.301406809249,259.919045317919,5.52380952380952,5.61904761904762,9.28571428571429,19.0952380952381
4122156,223.821572783784,230.236754640927,8.1578947368421,6.73684210526316,18.2105263157895,38.6315789473684
4122206,247.789309016548,248.094941323877,6.76744186046512,6.41860465116279,9.37209302325581,26.4651162790698
4122305,268.890375149847,275.034638877676,10.1764705882353,8.44117647058824,21.3823529411765,37.3529411764706
4122404,260.78397777668,259.490257822134,10.5365853658537,9.39024390243902,19.9268292682927,39.390243902439
4122503,256.715838617391,262.245891852174,7.42857142857143,6.5,17.9285714285714,26.0714285714286
4122701,267.611111202381,265.281698071429,6.875,5.875,10.5,32.25
4123006,275.63644139881,274.388093636905,6.13636363636364,5.63636363636364,11.5454545454545,21.2272727272727
4123501,280.908528245763,287.249936949153,9.51724137931035,8.31034482758621,13.5862068965517,32.7586206896552
4123709,250.704631815789,253.258332842105,8.5,7.9,15.8,29.3
4123808,268.061226972477,269.422448357798,6.94444444444444,6.77777777777778,14.2777777777778,24.7777777777778
4123857,250.830019279412,248.540262102941,5.23809523809524,4.71428571428571,11.6190476190476,20.5714285714286
4123907,236.728819528736,243.129209310345,8.92307692307692,7.92307692307692,13.0769230769231,32.1538461538462
4124020,254.195437462366,252.59207227957,7.72727272727273,7.72727272727273,12.3636363636364,23
4124053,268.617623326471,271.488787061765,9.8125,9.4375,14.6875,35.0625
4124103,265.076941356077,265.035154929638,9.12765957446809,7.97872340425532,13.6382978723404,29.9787234042553
4124400,265.157831356021,265.967442743455,7,6.27586206896552,14,24.2758620689655
4124707,236.318566906977,243.674887511628,6.2,6.1,13.75,27.55
4124806,269.852602617886,279.303266365854,7.8,7.4,10.5333333333333,27.8666666666667
4125001,246.643281892857,245.395807017857,8.4375,7.125,13,27
4125100,262.05195618239,267.408324534591,5.86666666666667,5.8,8.73333333333333,23.1333333333333
4125209,266.074741,265.6200568,7.38461538461539,7.53846153846154,14.7692307692308,29.4615384615385
4125506,266.363194197055,266.737492435484,11.4943181818182,10.9431818181818,17.3295454545455,43.2159090909091
4125605,263.789616046512,269.328346034884,8.45454545454546,7.78181818181818,11.1272727272727,27.6909090909091
4125704,269.091185605578,274.662827505976,12.3030303030303,7.87878787878788,13.969696969697,31.3333333333333
4125753,262.092012793478,263.36557751087,8.44444444444444,7,9.11111111111111,22.2222222222222
4125803,250.337770921053,261.584540881579,9.08333333333333,7.66666666666667,10.6666666666667,26.5833333333333
4126207,274.644990746667,286.502487986667,6.08333333333333,5.75,6.91666666666667,24
4126256,255.72877618955,257.16396554192,9.85416666666667,9.60416666666667,15.5208333333333,40.6875
4126306,252.163900074766,263.878454775701,7.9,6.65,13.9,22.45
4126603,271.621909808824,269.595932931373,9.52173913043478,7.78260869565217,10.9565217391304,35
4127007,271.77264165625,268.676430239583,7.42857142857143,5.57142857142857,8.64285714285714,24.2857142857143
4127106,260.727113965714,256.831635067143,10.3676470588235,8.98529411764706,22.7941176470588,31.9411764705882
4127304,261.996142496644,263.759200966443,11.125,7.4375,12,29.75
4127403,266.328667316901,273.883722732394,9.27777777777778,7.27777777777778,15.3888888888889,32.0555555555556
4127502,244.562310890688,240.704428619433,9.9375,8.75,18.1875,34.375
4127601,257.753517993631,264.443518178344,6.11764705882353,6.52941176470588,9.70588235294118,23.7647058823529
4127700,275.363015165979,281.085021206441,10.4090909090909,9.08181818181818,20.7363636363636,39.6545454545455
4127809,257.456187872727,259.549474163636,6.625,5.875,13.0625,24.4375
4127882,225.197702525253,219.407509585859,8.42857142857143,7.57142857142857,5.85714285714286,24.8571428571429
4127908,255.863840047619,245.053022761905,6.66666666666667,5.91666666666667,12.1666666666667,26.3333333333333
4127957,272.498334493976,276.382198855422,6.41666666666667,5.33333333333333,15.25,22.8333333333333
4127965,252.212603932642,258.078973398964,10.1176470588235,8.64705882352941,8.82352941176471,23.5294117647059
4128005,275.229352411523,283.78449855144,10.9166666666667,8.16666666666667,12.4583333333333,35.7083333333333
4128104,262.385339651163,264.082339055612,10.4698795180723,9.69879518072289,20.3614457831325,38.7590361445783
4128203,275.135218207858,274.190535510773,10.6923076923077,9.26153846153846,23.7538461538462,32.2
4128401,255.507181090909,258.400976336364,12,7.2,11.7333333333333,27.4
4128500,280.174958043243,274.050642259459,10.25,9.15,16.8,39.15
4128534,256.440641128378,251.571041472973,6.27272727272727,7,10.9090909090909,24.3636363636364
4128559,257.91405158,267.92150222,10,8.875,17.125,37
4128609,268.125629428571,273.065235035714,7.8,6.9,14.3,26.3
4128633,243.637937025,247.0985704,3.35294117647059,3.29411764705882,2,11
4128807,250.199214322581,259.052780903226,7.66666666666667,6.11111111111111,14.2222222222222,21
4200101,262.259736493902,260.001014378049,6.88461538461539,6.07692307692308,10.7692307692308,21.2307692307692
4200200,266.300653037383,269.481673719626,5.5625,5.375,7.75,17.25
4200309,259.6929254,262.6302253,5.5,5.25,6.375,15.625
4200507,259.97348025,267.661773038462,6,5,6.33333333333333,16.3333333333333
4200606,261.489624258824,277.172506423529,5.875,5.75,11.5,21.5
4200705,254.248460673469,265.367934214286,5.6,5.3,10.3,18.9
4200804,278.248555268657,276.528887432836,5.75,4,9.125,14.0625
4200903,250.281984475,265.018061525,3.75,3.0625,4.875,7.125
